C0020662	Hypothalamo-Hypophyseal System
C0871776	Hypothalamo Pituitary Adrenal System
C0029126	Optic Chiasms
C0039729	Thalamic structure
C0039727	Thalamic Nuclei
C0017405	Geniculate body structure
C0086526	Lateral geniculate complex
C2335498	Left lateral geniculate body
C2336859	Right lateral geniculate body
C0228347	Lateral nuclei of geniculate body
C1284636	Entire lateral geniculate body
C0086596	Medial geniculate body
C2326871	Left medial geniculate body
C2329212	Right medial geniculate body
C0228348	Medial nucleus of geniculate body
C1284637	Entire medial geniculate body
C1284068	Entire metathalamus
C1284635	Entire geniculate body
C1284636	Entire lateral geniculate body
C1284637	Entire medial geniculate body
C2324691	Left metathalamus
C2329248	Right metathalamus
C0175298	Posterior Thalamic Nuclei
C0152346	Structure of suprageniculate nucleus
C2326904	Right suprageniculate nucleus
C2331751	Left suprageniculate nucleus
C1289607	Entire suprageniculate nucleus
C0175299	Structure of limitans nucleus
C2324350	Right limitans nucleus
C2331942	Left limitans nucleus
C1289608	Entire limitans nucleus
C0175301	Submedial Nucleus
C0458301	Entire submedial nucleus of thalamus
C2328458	Right submedial nucleus
C2336863	Left submedial nucleus
C0262315	Posterior Nucleus of Thalamus
C1828482	Entire posterior nucleus of thalamus
C2323868	Left posterior nucleus of thalamus
C2327088	Right posterior nucleus of thalamus
C1827261	Entire nucleus of posterior nuclear group of thalamus
C0458301	Entire submedial nucleus of thalamus
C1289607	Entire suprageniculate nucleus
C1289608	Entire limitans nucleus
C1828482	Entire posterior nucleus of thalamus
C2323832	Posterior nuclear group of right thalamus
C2337478	Posterior nuclear group of left thalamus
C0228316	Anterior Nuclear Group
C0228318	Anterodorsal nucleus of thalamus
C1761583	Entire anterodorsal nucleus of thalamus
C2324046	Right anterodorsal nucleus
C2334957	Left anterodorsal nucleus
C0228319	Anteromedial Nucleus
C1761584	Entire anteromedial nucleus of thalamus
C2337514	Left anteromedial nucleus
C2337689	Right anteromedial nucleus
C0752050	Anteroventral Thalamic Nucleus
C1761582	Entire anteroventral nucleus of thalamus
C2335869	Left anteroventral nucleus
C2339715	Right anteroventral nucleus
C2322816	Anterior nuclear group of left thalamus
C2335225	Anterior nuclear group of right thalamus
C1284626	Entire anterior nuclear group of thalamus
C1761581	Entire nucleus of anterior nuclear group of thalamus
C1761582	Entire anteroventral nucleus of thalamus
C1761583	Entire anterodorsal nucleus of thalamus
C1761584	Entire anteromedial nucleus of thalamus
C0228323	Midline Thalamic Nuclei
C2322680	Midline nuclear group of left thalamus
C2329682	Midline nuclear group of right thalamus
C0175252	Paratenial Nucleus
C1828005	Entire paratenial nucleus of thalamus
C2324419	Left paratenial nucleus
C2325331	Right paratenial nucleus
C0175253	Structure of paraventricular nucleus of thalamus
C1289590	Entire paraventricular nucleus of thalamus
C0175256	Subfascicular nucleus
C1827120	Entire subfascicular nucleus of thalamus
C2330178	Right subfascicular nucleus
C2338870	Left subfascicular nucleus
C0228326	Structure of rhomboidal nucleus of thalamus
C1289589	Entire rhomboidal nucleus of thalamus
C0228327	Reuniens Thalamic Nucleus
C1289591	Entire reuniens nucleus of thalamus
C1284628	Entire midline nuclear group of thalamus
C1761585	Entire nucleus of midline nuclear group of thalamus
C0175253	Structure of paraventricular nucleus of thalamus
C0228326	Structure of rhomboidal nucleus of thalamus
C0228327	Reuniens Thalamic Nucleus
C1289589	Entire rhomboidal nucleus of thalamus
C1289590	Entire paraventricular nucleus of thalamus
C1289591	Entire reuniens nucleus of thalamus
C1827120	Entire subfascicular nucleus of thalamus
C1828005	Entire paratenial nucleus of thalamus
C0228329	Medial Dorsal Nucleus
C0175301	Submedial Nucleus
C0228352	Parafascicular Thalamic Nucleus
C1761574	Entire parafascicular nucleus of thalamus
C2330907	Right parafascicular nucleus
C2336993	Left parafascicular nucleus
C0228354	Paracentral Thalamic Nucleus
C1761573	Entire paracentral nucleus of thalamus
C2328123	Right paracentral nucleus
C2338632	Left paracentral nucleus
