"brainregion","disease","count"
"Cingulate Cortex","Mesulam Syndrome","1"
"Nucleus of Ansa Lenticularis","DISORDERS OF THE OPTIC NERVE","1"
"Basal Nucleus of Meynert","Diseases of inner ear","1"
"Visual Cortex","Neurotoxicity Syndromes","1"
"Structure of rubrospinal tract","motor disorder","1"
"Structure of medulla oblongata fasciculus cuneatus","Liver diseases","1"
"Surface of brain","Vasodilation disorder","1"
"mossy fiber","neuropathology disease","1"
"Parabigeminal nucleus","Herpes zoster disease","1"
"Amygdaloid Nucleus, Cortical","Syndrome","1"
"Superior colliculus of corpora quadrigemina","Neurotoxicity Syndromes","1"
"Cerebral hemisphere structure (body structure)","Mohr-Tranebjaerg syndrome","1"
"Structure of locus ceruleus","Nail-Patella Syndrome","1"
"Internal capsule of brain","Werner Syndrome","1"
"Structure of superior central nucleus of pons","cortex bone disorders","1"
"Optic Commissure","Spinal Cord Diseases","1"
"Entire cochlear nerve","cortex bone disorders","1"
"Gigantocellular nucleus","Sensitization (disorder)","1"
"Structure of genu of corpus callosum","Camurati-Engelmann Syndrome","1"
"Genus Hippocampus","Borderline Personality Disorder","1"
"Structure of area postrema","Esophageal Diseases","1"
"mossy fiber","General Adaptation Syndrome","1"
"Marginal Sulcus","Virus Diseases","1"
"BRAIN, HIPPOCAMPUS","Chronic granulomatous disease","1"
"Cingulate Cortex","Parkinson Disease","1"
"Pyramidal Cells","Retinal Diseases","1"
"Corpus Callosum","Tic disorder","1"
"Purkinje Cells","Fragile X Syndrome","1"
"Pyramidal Cells","Capillary Leak Syndrome","1"
"Brain Stem","Ear Diseases","1"
"Structure of thalamic fasciculus","cortex bone disorders","1"
"caudal raphe nuclei","Virus Diseases","1"
"Cingulate Cortex","neuropathology disease","1"
"Hindbrain","Syndrome","1"
"Posterior periventricular nucleus of hypothalamus","Alzheimer's Disease","1"
"Structure of anterior commissure","Gardner Syndrome","1"
"Lobe, Frontal","Mesulam Syndrome","1"
"Optic tract structure","Syndrome, Bloch-Sulzberger","1"
"Neocortex","Pelvic Inflammatory Disease","1"
"Orbitofrontal cortex","Degenerative disorder","1"
"Olfactory tubercle","Disease of thymus gland","1"
"Cerebral white matter structure","Degenerative disorder","1"
"Medial geniculate body","Syndrome","1"
"Globus Pallidus","Renal glomerular disease","1"
"Structure of lateral mammillary nucleus","Retinal Diseases","1"
"Lateral habenular nucleus","Post-Traumatic Stress Disorder","1"
"Inferior Colliculus","Herpes zoster disease","1"
"Structure of forceps minor","Esophageal Diseases","1"
"Habenula","neuropathology disease","1"
"Nucleus solitarius","DISORDERS OF THE OPTIC NERVE","1"
"Cerebral cortex","Paramyotonia congenita (disorder)","1"
"Structure of thalamic reticular nucleus","Skin endocrine disorder","1"
"Brain Stem","Duane Retraction Syndrome","1"
"Cortex, Primary Motor","Mesulam Syndrome","1"
"Cerebral cortex","Placenta Disorders","1"
"External capsule","Obsessive-Compulsive Disorder","1"
"Superficial transverse fibers of pons","cortex bone disorders","1"
"Structure of trigeminal nerve spinal tract nucleus","Renal glomerular disease","1"
"Pyramidal Cells","Coffin-Lowry syndrome","1"
"mossy fiber","Sequela of disorder","1"
"Purkinje Cells","Feline urological syndrome","1"
"Cochlear outer hair cell","Virus Diseases","1"
"Thalamic structure","Gardner Syndrome","1"
"Structure of pars intermedia of pituitary gland","Disorder of pineal gland","1"
"Bundle, Predorsal","Hypertensive disease","1"
"Structure of thalamic reticular nucleus","neuropathology disease","1"
"Paracentral sulcus","Niemann-Pick Disease, Type C","1"
"Cerebral hemisphere structure (body structure)","Dystonia Disorders","1"
"Olfactory Pathways","Skin endocrine disorder","1"
"Reuniens Thalamic Nucleus","Van der Woude syndrome","1"
"Structure of paraventricular nucleus","Parkinson Disease","1"
"Structure of medial preoptic nucleus","Vasodilation disorder","1"
"Planum temporale (PT)","Depressive disorder","1"
"Cerebral hemisphere structure (body structure)","Attention-Deficit/Hyperactivity Disorder, Predominantly Inattentive Type","1"
"External capsule","Depressive disorder","1"
"Entire medulla oblongata","Autonomic nervous system disorders","1"
"Structure of subthalamic nucleus","Dystonia Disorders","1"
"Midbrain structure","Lafora Disease","1"
"Substantia nigra structure","Niemann-Pick Disease, Type C","1"
"Structure of endopeduncular nucleus","Rabies (disorder)","1"
"Brodmann area 35","neuropathology disease","1"
"Genus Hippocampus","Migraine Disorders","1"
"Midbrain structure","Rabies (disorder)","1"
"Entire Brodmann area 24, ventral anterior cingulate","Mood Disorders","1"
"Cerebral cortex","Chylomicron retention disease","1"
"Structure of trigeminal nerve mesencephalic tract","Spinal Cord Diseases","1"
"Brain Stem","Spastic syndrome","1"
"Structure of nucleus prepositus","Virus Diseases","1"
"Basal Forebrain","Acquired Immunodeficiency Syndrome","1"
"Neostriatum","Ovarian Diseases","1"
"Occipital lobe","Pituitary Diseases","1"
"Parabrachial Nucleus","Corneal Diseases","1"
"Cerebral Peduncle","Mild cognitive disorder","1"
"CA2 field","Shwachman syndrome","1"
"Posterior cerebral commissure","Chimera (disorder)","1"
"Reticular formation of pons","Herpes zoster disease","1"
"Nucleus Accumbens","Alcohol withdrawal syndrome","1"
"Facial Nucleus","Diseases of external ear","1"
"Basal Forebrain","Dementia associated with Parkinson's Disease","1"
"Sensorimotor Cortex","Sequela of disorder","1"
"Pars nervosa of hypophysis","Syndrome","1"
"Cerebral cortex","Mirror movements (disorder)","1"
"Triangular Septal Nucleus","Opitz-Frias syndrome","1"
"Gyrus Cinguli","Lewy Body Disease","1"
"Structure of Broca's area","Paramyotonia congenita (disorder)","1"
"Cochlear duct","Virus Diseases","1"
"Neocortex","Degenerative disorder","1"
"Anteroventral Thalamic Nucleus","Van der Woude syndrome","1"
"Nucleus intercalatus","Huntington Disease","1"
"Perforant Pathway","Recurrent disease","1"
"Inferior Colliculus","Leigh Disease","1"
"Cerebellum","Niemann-Pick Disease, Type C","1"
"Occipital lobe","Meningeal disorder","1"
"Pontine structure","neuropathology disease","1"
"CA2 field","Prion Diseases","1"
"Ventral Tegmental Area","Mixed anxiety and depressive disorder","1"
"Central insular sulcus","Neurodevelopmental disorder","1"
"Pyramidal Cells","Denys-Drash Syndrome","1"
"Structure of cingulate sulcus","Liver diseases","1"
"Gyrus Cinguli","Autistic Disorder","1"
"Cerebellum","Juvenile polyposis syndrome","1"
"Parafascicular Thalamic Nucleus","Spinal Cord Diseases","1"
"Brain Stem","Popliteal pterygium syndrome","1"
"Nucleus solitarius","Uterine Diseases","1"
"Lateral ventricle structure","Meningeal disorder","1"
"Structure of supramammillary nucleus","Polycystic Ovary Syndrome","1"
"Paratenial Nucleus","Depressive disorder","1"
"Left superior temporal sulcus","Depressive disorder","1"
"Pineal gland","Diseases of external ear","1"
"Structure of dentate gyrus","Stress Disorders, Traumatic, Acute","1"
"Lobe, Frontal","Cerebral disorder","1"
"Entire medulla oblongata","Timothy syndrome","1"
"Area striata structure","Drug effect disorder","1"
"Pyramidal Cells","Iodine deficiency syndrome","1"
"Structure of nucleus infundibularis hypothalami","Cushing Syndrome","1"
"Calcarine sulcus","Syndrome","1"
"Lateral ventricle structure","Brain Diseases","1"
"Substantia nigra structure","Mitochondrial Diseases","1"
"Hypothalamic Area, Lateral","Sequela of disorder","1"
"Preoptic Areas","Glycogen storage disease type II","1"
"Globus Pallidus","Feline urological syndrome","1"
"Inferior olivary nucleus","Leigh Disease","1"
"Brain Stem","Respiration Disorders","1"
"Anterior insula","Sweet Syndrome","1"
"Entire internal capsule of brain","Depressive disorder","1"
"Paracentral sulcus","Shy-Drager Syndrome","1"
"Linear nucleus","Obsessive-Compulsive Disorder","1"
"Perforant Pathway","Drug effect disorder","1"
"Prosencephalon","Testicular Diseases","1"
"External capsule","Chronic myeloproliferative disorder","1"
"Anterodorsal nucleus of thalamus","Communicable Diseases","1"
"Purkinje Cells","Spastic syndrome","1"
"Dentate nucleus","Autism Spectrum Disorders","1"
"BRAIN, HIPPOCAMPUS","Hallermann's Syndrome","1"
"Entire choroid plexus","Liver diseases","1"
"Structure of tectobulbar tract","Meconium Aspiration Syndrome","1"
"Trigeminal Nuclei","Functional disorder","1"
"Parolfactory area structure (body structure)","Motor Neuron Disease","1"
"Interpeduncular nucleus","Liver diseases","1"
"Olfactory tubercle","Wasting Disease, Chronic","1"
"Cerebral cortex","Disease of capillaries","1"
"Structure of paraventricular nucleus","Autonomic nervous system disorders","1"
"Cerebral arcuate fibers","Spinal Cord Diseases","1"
"Cerebral cortex","Nijmegen Breakage Syndrome","1"
"Cerebral hemisphere structure (body structure)","Denys-Drash Syndrome","1"
"Median preoptic nucleus","Virus Diseases","1"
"Inferior frontal gyrus","Irritable Bowel Syndrome","1"
"Structure of suprachiasmatic nucleus","Mitral Valve Prolapse Syndrome","1"
"Pontine nuclei","Movement Disorders","1"
"Entire temporal lobe gyrus","Down Syndrome","1"
"Tuberomammillary Nucleus","Speech Disorders","1"
"Anterodorsal nucleus of thalamus","Cardiovascular Diseases","1"
"Structure of medial preoptic nucleus","Acute infectious disease","1"
"CA3 field","Autism Spectrum Disorders","1"
"Cerebral cortex","Stress Disorders, Traumatic","1"
"Corpus Callosum","Gilles de la Tourette syndrome","1"
"Amygdaloid structure","Migraine Disorders","1"
"Brain Stem","Mirror movements (disorder)","1"
"Structure of suprageniculate nucleus","neuropathology disease","1"
"Right external capsule","Alzheimer's Disease","1"
"Basal Forebrain","Premature aging syndrome","1"
"Structure of supramammillary nucleus","Cerebral Small Vessel Diseases","1"
"Fifth ventricle","Syndrome","1"
"Cerebellar peduncle","Turner Syndrome","1"
"Structure of choroid plexus","Sequela of disorder","1"
"Medial superior olivary nucleus","Fragile X Syndrome","1"
"Structure of choroid plexus","Liver diseases","1"
"Dorsal Septal Nucleus","Microdeletion syndromes","1"
"intercalated amygdalar nuclei","Syndrome, Bloch-Sulzberger","1"
"Entire geniculate body","Vision Disorders","1"
"Primary Auditory Cortex","Functional disorder","1"
"CA2 field","Machado-Joseph Disease","1"
"Structure of thalamic reticular nucleus","Huntington Disease","1"
"Inferior Colliculus","Prostatic Diseases","1"
"Cerebellum","Idiopathic pneumonia syndrome","1"
"Structure of trigeminal nerve mesencephalic nucleus","Herpes zoster disease","1"
"Cerebral cortex","Idiopathic disease","1"
"Entire Brodmann area 7, superior parietal","Alzheimer's Disease","1"
"Structure of angular gyrus","Parkinson Disease","1"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Attention deficit hyperactivity disorder","1"
"Temporal Lobe","Bipolar I disorder","1"
"Pituitary Gland","Acute infectious disease","1"
"Parietal operculum cortex (PO)","Spinal Cord Diseases","1"
"Visual Cortex","Blindness - both eyes (disorder)","1"
"Habenular Nucleus","Disorders, Mental","1"
"Structure of lateral olfactory gyrus","Russell-Silver syndrome","1"
"Vestibular nucleus structure","Disease Progression","1"
"Tegmentum Mesencephali","Ataxia as late effect of cerebrovascular disease","1"
"Central lobule of cerebellum","Alzheimer's Disease","1"
"BRAIN, HIPPOCAMPUS","Growth Disorders","1"
"Nucleus solitarius","Barakat syndrome","1"
"Thalamic structure","Pain Disorder","1"
"lateral amygdalar nucleus","Degenerative disorder","1"
"Entire medulla oblongata","Nose Diseases","1"
"Subicular complex","Hamartoma Syndrome, Multiple","1"
"Posterolateral auditory cortex","Anxiety Disorders","1"
"Nucleus of Ansa Lenticularis","Hyperphosphatemia (disorder)","1"
"Cerebellar cortex structure","Diseases of inner ear","1"
"Right insula","Alcohol use disorder","1"
"Midbrain and pons","Shy-Drager Syndrome","1"
"Lobe, Frontal","Seasonal Affective Disorder","1"
"Anterodorsal nucleus of thalamus","Dysequilibrium syndrome","1"
"Lateral reticular nucleus (medulla)","Disease Progression","1"
"Pontine nuclei","Parkinsonian Disorders","1"
"Structure of suprageniculate nucleus","Testicular Diseases","1"
"Lateral geniculate complex","Disease Progression","1"
"CA2 field","Parathyroid Diseases","1"
"Structure of nucleus cuneatus","Eosinophilic disorder","1"
"Nucleus solitarius","Cohen syndrome","1"
"Medulla Oblongata","Kidney Diseases","1"
"Purkinje Cells","Fetal Alcohol Spectrum Disorders","1"
"Structure of ventral posteromedial nucleus of thalamus","Adult Fanconi syndrome","1"
"CA2 field","Sturge-Weber Syndrome","1"
"Cerebral hemisphere structure (body structure)","Mirror movements (disorder)","1"
"Area striata structure","Langer-Giedion Syndrome","1"
"Olfactory Cortex","Klinefelter Syndrome","1"
"Telencephalon","CNS disorder","1"
"Left prefrontal cortex","cortex bone disorders","1"
"Corpus striatum structure","Drug withdrawal syndrome","1"
"Caudate nucleus structure","Occlusion of artery (disorder)","1"
"Cerebellum","Congenital chromosomal disease","1"
"Lateral Septal Nucleus","DISORDERS OF THE OPTIC NERVE","1"
"Telencephalon","Rabies (disorder)","1"
"Cerebral cortex","Disease due to Parvoviridae","1"
"Central nucleus of inferior colliculus","Attention deficit hyperactivity disorder","1"
"Auditory pathway structure","Auditory Perceptual Disorders","1"
"Internal capsule of brain","Mohr-Tranebjaerg syndrome","1"
"Cerebellum","Li-Fraumeni Syndrome","1"
"Centromedian Thalamic Nucleus","Functional disorder","1"
"Entire internal capsule of brain","Chronic Fatigue Syndrome","1"
"Lobe, Frontal","Major Depressive Disorder","1"
"Cerebral white matter structure","Ataxia as late effect of cerebrovascular disease","1"
"Cerebellar cortex structure","Huntington Disease","1"
"Pituitary Gland","Lewy Body Disease","1"
"Structure of superior cerebellar peduncle","DISORDERS OF THE OPTIC NERVE","1"
"Inferior Colliculus","Popliteal pterygium syndrome","1"
"Somatosensory Cortex","Alzheimer's Disease","1"
"Genus Hippocampus","Carpal Tunnel Syndrome","1"
"Hypothalamic Area, Lateral","Leigh Disease","1"
"Occipital lobe","Melkersson-Rosenthal Syndrome","1"
"Red nucleus structure","Herpes zoster disease","1"
"CA3 field","Brain Diseases","1"
"Base of the Brain","Neurodegenerative Disorders","1"
"Tegmentum Mesencephali","Lewy Body Disease","1"
"Medulla Oblongata","Neoplastic disease","1"
"Subthalamic structure","Brain Diseases","1"
"Ventral Tegmental Area","Drug withdrawal syndrome","1"
"Anterior Nuclear Group","Disorder of pineal gland","1"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Brain Diseases","1"
"Basis pontis","Shy-Drager Syndrome","1"
"Marginal Sulcus","neuropathology disease","1"
"Claustral structure","Dystonia Disorders","1"
"Telencephalon","Bipolar Disorder","1"
"Structure of thalamic reticular nucleus","Norrie disease","1"
"Left insula","Recurrent disease","1"
"CA2 field","Movement Disorders","1"
"Structure of superior longitudinal fasciculus","cortex bone disorders","1"
"Purkinje Cells","Degenerative disorder","1"
"Parolfactory area structure (body structure)","Fragile X Tremor Ataxia Syndrome","1"
"Structure of thalamic fasciculus","Alzheimer's Disease","1"
"Structure of central sulcus","Cognition Disorders","1"
"Cerebral cortex","Vision Disorders","1"
"Cerebral arcuate fibers","Down Syndrome","1"
"Entire medial geniculate body","Hamartoma Syndrome, Multiple","1"
"Lateral olfactory striae","Retinal Diseases","1"
"Structure of locus ceruleus","Attention deficit hyperactivity disorder","1"
"Neocortex","Renal glomerular disease","1"
"Structure of hippocampal fissure","Parkinsonian Disorders","1"
"Inferior olivary nucleus","Rare Diseases","1"
"Cerebral hemisphere structure (body structure)","Vanishing white matter disease","1"
"Tuberomammillary Nucleus","Neurotoxicity Syndromes","1"
"Olfactory Nerve","Retinal Diseases","1"
"Visual Cortex","Androgen-Insensitivity Syndrome","1"
"Marginal Sulcus","Melkersson-Rosenthal Syndrome","1"
"Cerebral cortex","Bannayan-Riley-Ruvalcaba Syndrome","1"
"Medial Septal Nucleus","Melkersson-Rosenthal Syndrome","1"
"BRAIN, HIPPOCAMPUS","other psychiatric disorders","1"
"Occipital lobe","Autistic Disorder","1"
"CA2 field","Diseases of inner ear","1"
"Structure of dentate gyrus","Cat-Scratch Disease","1"
"Cerebral cortex","Lung Diseases, Interstitial","1"
"Brodmann area 21","Norrie disease","1"
"Superior colliculus of corpora quadrigemina","Virus Diseases","1"
"BRAIN, HIPPOCAMPUS","Carpal Tunnel Syndrome","1"
"Thalamic structure","Ataxia as late effect of cerebrovascular disease","1"
"Temporal Lobe","Prion Diseases","1"
"Visual Cortex","Capillary malformation (disorder)","1"
"Allocortex","Neurodegenerative Disorders","1"
"Cerebellar vermis structure","Autism Spectrum Disorders","1"
"Cerebral Ventricles","Tracheal Diseases","1"
"Epithalamic structure","Spinal Cord Diseases","1"
"Dorsal tegmental nucleus","Alzheimer's Disease","1"
"Bundle, Predorsal","Cushing Syndrome","1"
"Structure of frontal pole","cortex bone disorders","1"
"Periventricular white matter","Sensorineural hearing loss (disorder)","1"
"Nucleus, Ventral Tegmental","Herpes zoster disease","1"
"Neostriatum","Hereditary Neurodegenerative Disorder","1"
"Auditory pathway structure","Hypertrophic disorder of skin, unspecified","1"
"Olfactory Nerve","Disorder nervous system","1"
"Substantia nigra structure","Alagille Syndrome","1"
"Gigantocellular nucleus","Skin endocrine disorder","1"
"Cortex, Primary Motor","Niemann-Pick Disease, Type C","1"
"Medulla Oblongata","Kallmann Syndrome","1"
"Inferior olivary nucleus","Diseases of inner ear","1"
"Superior colliculus of corpora quadrigemina","Developmental delay (disorder)","1"
"Nucleus of Ansa Lenticularis","Developmental delay (disorder)","1"
"Genus Hippocampus","Cat eye syndrome","1"
"Parietal Lobe","Migraine Disorders","1"
"Thalamic structure","Disease of capillaries","1"
"Structure of middle temporal gyrus","Obsessive-Compulsive Disorder","1"
"Primary Auditory Cortex","Carpal Tunnel Syndrome","1"
"Structure of forceps major","Body Dysmorphic Disorders","1"
"CA1 field","Parkinson Disease","1"
"Paratenial Nucleus","Conduct Disorder","1"
"Structure of diencephalon","Cognition Disorders","1"
"Parahippocampal gyrus, anterior division (PHa)","Depressive disorder","1"
"Orbital cortex","Skin endocrine disorder","1"
"Precentral gyrus","Fetal Alcohol Syndrome","1"
"Left thalamus","Alcohol use disorder","1"
"Set of basolateral nuclei of amygdala","Drug effect disorder","1"
"Thalamic structure","Bipolar Disorder","1"
"Bundle, Predorsal","Finnish congenital nephrotic syndrome","1"
"Subfascicular nucleus","Mobius Syndrome","1"
"Structure of tectobulbar tract","Diseases of inner ear","1"
"Medial Dorsal Nucleus","Chronic Fatigue Syndrome","1"
"Corpus striatum structure","Opitz-Frias syndrome","1"
"CA1 field","Prediabetes syndrome","1"
"Structure of parieto-occipital fissure","Disorders, Mental","1"
"Corpus Callosum","Nijmegen Breakage Syndrome","1"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Down Syndrome","1"
"Gigantocellular nucleus","Parkinsonian Disorders","1"
"lateral amygdalar nucleus","Lupus anticoagulant disorder","1"
"Right precuneus","Obsessive-Compulsive Disorder","1"
"Paraterminal gyrus","Lafora Disease","1"
"Central gray substance of midbrain","Post-Traumatic Stress Disorder","1"
"Insula of Reil","Disorders, Mental","1"
"CA1 field","Niemann-Pick Disease, Type C","1"
"Structure of mammillotegmental tract of hypothalamus","Psychotic Disorders","1"
"Structure of medial globus pallidus","Disease Progression","1"
"CA1 field","McCune-Albright Syndrome","1"
"Ventral Tegmental Area","Post-Traumatic Stress Disorder","1"
"Posterior superior ansiform lobule of cerebellum","Marfan Syndrome","1"
"Type 2 vestibular sensory cell","Virus Diseases","1"
"Structure of chorda tympani","cortex bone disorders","1"
"Structure of ventral posteromedial nucleus of thalamus","Vasodilation disorder","1"
"BRAIN, HIPPOCAMPUS","Immune System Diseases","1"
"Nucleus of Ansa Lenticularis","Virus Diseases","1"
"Cerebral Peduncle","Stress Disorders, Traumatic","1"
"Lobe, Frontal","Shprintzen syndrome","1"
"Substantia nigra structure","Inflammatory disorder","1"
"Purkinje Cells","Fucosidase Deficiency Disease","1"
"Visual Cortex","Late effects of cerebrovascular disease, disturbances of vision","1"
"Cerebrum","Prion Diseases","1"
"Structure of thalamic reticular nucleus","Liver diseases","1"
"Structure of genu of corpus callosum","Obsessive-Compulsive Disorder","1"
"Paratenial Nucleus","Stereotypic Movement Disorder","1"
"Right fusiform gyrus","Autistic Disorder","1"
"Structure of paraventricular nucleus of thalamus","Hodgkin Disease","1"
"Midbrain structure","Tay-Sachs Disease","1"
"Lactotrophs","Pancreatic Diseases","1"
"Structure of superior longitudinal fasciculus","Mesulam Syndrome","1"
"basolateral nucleus of the amygdala","Cerebrovascular Disorders","1"
"Cerebellar Nuclei","Syndrome, Bloch-Sulzberger","1"
"Internal genu of facial nerve","Kallmann Syndrome","1"
"Triangular Septal Nucleus","Obsessive-Compulsive Disorder","1"
"Structure of tegmental portion of pons","Lafora Disease","1"
"Structure of locus ceruleus","Pick Disease of the Brain","1"
"Neocortex","Behavior Disorders","1"
"Structure of tectobulbar tract","Autistic Disorder","1"
"Cerebral white matter structure","Stress Disorders, Traumatic","1"
"CA3 field","Premenstrual Dysphoric Disorder","1"
"Structure of cingulate sulcus","Prion Diseases","1"
"Cerebellum","Hereditary Neurodegenerative Disorder","1"
"Structure of thalamic reticular nucleus","Rett Syndrome","1"
"Parahippocampal Gyrus","Depressive disorder","1"
"Structure of commissure of superior colliculus","Cat-Scratch Disease","1"
"Prefrontal Cortex","Conjunctival Diseases","1"
"Cerebral Ventricles","Brain Diseases","1"
"Left temporal pole","Language Disorders","1"
"Inferior parietal lobule","Asperger Syndrome","1"
"Cerebellum","Chronic liver disease","1"
"Structure of ansa lenticularis","Developmental delay (disorder)","1"
"Interfascicular Nucleus","Renal glomerular disease","1"
"Hypothalamus, Anterior","Gilles de la Tourette syndrome","1"
"Planum temporale (PT)","Retinal Diseases","1"
"Basal Nucleus of Meynert","Shy-Drager Syndrome","1"
"Prosencephalon","Attention deficit hyperactivity disorder","1"
"Cerebral Ventricles","Pituitary Diseases","1"
"CA4 Region, Hippocampal","Macrophage Activation Syndrome","1"
"Entire substantia nigra","cortex bone disorders","1"
"Structure of medial preoptic nucleus","Colonic Diseases","1"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Androgen-Insensitivity Syndrome","1"
"Structure of lateral preoptic nucleus","Spinal Cord Diseases","1"
"Pyramidal Cells","Sensorineural hearing loss (disorder)","1"
"Cerebral hemisphere structure (body structure)","Fetal Alcohol Spectrum Disorders","1"
"Entire brainstem","Pervasive Development Disorder","1"
"Occipital lobe","Migraine Disorders","1"
"Left intraparietal sulcus","Idiopathic pneumonia syndrome","1"
"Cerebral cortex","Congenital ocular coloboma (disorder)","1"
"Brain Stem","Nijmegen Breakage Syndrome","1"
"Orbitofrontal cortex","Aicardi's syndrome","1"
"Basis pontis","Syndrome","1"
"Telencephalon","Renal tubular disorder","1"
"association cortex","Motor Neuron Disease","1"
"Paracentral Thalamic Nucleus","Van der Woude syndrome","1"
"Entire midbrain","Neurodegenerative Disorders","1"
"Entire cerebrum","Fetal Alcohol Syndrome","1"
"Left superior longitudinal fasciculus","Psychotic Disorders","1"
"Left superior frontal gyrus","Pick Disease of the Brain","1"
"Structure of putamen","Dystonia Disorders","1"
"Prosencephalon","Alcoholic Liver Diseases","1"
"Periventricular white matter","Alzheimer's Disease","1"
"Cerebellum","Clinically isolated syndrome","1"
"Occipital lobe","Bipolar I disorder","1"
"Anterodorsal nucleus of thalamus","Syndrome, Bloch-Sulzberger","1"
"Longitudinal pontine fibers","Obsessive-Compulsive Disorder","1"
"Amygdaloid structure","Stiff-Person Syndrome","1"
"Dorsal Nucleus Raphe","Pancreatic Diseases","1"
"Genus Hippocampus","Demyelinating Diseases","1"
"Cerebrum","CNS disorder","1"
"Medial longitudinal fasciculus","Pontine one and a half syndrome","1"
"Ventral Striatum","Mood Disorders","1"
"Anterodorsal nucleus of thalamus","Meningeal disorder","1"
"Structure of terminal stria nuclei of preoptic region","Chronic myeloproliferative disorder","1"
"Interpeduncular nucleus","Major Depressive Disorder","1"
"Structure of angular gyrus","Hashimoto Disease","1"
"Cerebral hemisphere structure (body structure)","Cognition Disorders","1"
"Basal Nucleus of Meynert","Rett Syndrome","1"
"Neostriatum","Mixed anxiety and depressive disorder","1"
"Entire nucleus of intralaminar nuclear group of thalamus","Chronic Fatigue Syndrome","1"
"Structure of fissure of Sylvius","Coffin-Lowry syndrome","1"
"Fornix, Brain","Functional disorder","1"
"Median eminence of hypothalamus","Metabolic Diseases","1"
"Pontine structure","DISORDERS OF THE OPTIC NERVE","1"
"Cerebellar declive","Meningeal disorder","1"
"Right temporal lobe structure","Motor Neuron Disease","1"
"Corpus Callosum","Mucocutaneous Lymph Node Syndrome","1"
"Retro-olivary cell group","cortex bone disorders","1"
"Limbic System","Pituitary Diseases","1"
"Pyramidal cell of precentral gyrus of cerebral hemisphere","Functional disorder","1"
"Cerebral hemisphere structure (body structure)","Sandhoff Disease","1"
"Posterior pretectal nucleus","cortex bone disorders","1"
"Neocortex","Idiopathic Hypereosinophilic Syndrome","1"
"Structure of capsule of red nucleus","neuropathology disease","1"
"Right precentral gyrus","Papillon-Lefevre Disease","1"
"Cerebral cortex","Demyelinating Diseases","1"
"Dentatothalamic tract","Parkinson Disease","1"
"Cerebral cortex","Cardiovascular Diseases","1"
"Brodmann area 18","Parkinson Disease","1"
"Red nucleus structure","Learning Disorders","1"
"CA3 field","Neurodegenerative Disorders","1"
"Pyramidal Cells","Norrie disease","1"
"Neostriatum","Stress Disorders, Traumatic","1"
"Habenula","Sensitization (disorder)","1"
"Visual Cortex","Shy-Drager Syndrome","1"
"Nucleus Accumbens","Tic disorder","1"
"Structure of parieto-occipital fissure","Disease Progression","1"
"Amygdaloid structure","Down Syndrome","1"
"Anterior Nuclear Group","Alzheimer's Disease","1"
"Pars Compacta","Virus Diseases","1"
"Entire gyrus ambiens","cortex bone disorders","1"
"Inferior olivary nucleus","Peroxisomal Disorders","1"
"Caudate nucleus structure","Acute Disease","1"
"Parietal Lobe","Capillary malformation (disorder)","1"
"Structure of gyrus ambiens","cortex bone disorders","1"
"Posterior cerebral commissure","Van der Woude syndrome","1"
"Lateral ventricle structure","Disorder of pineal gland","1"
"Dentatothalamic tract","Conduct Disorder","1"
"Pituitary Gland","Communicable Diseases","1"
"sensory cortex","Autism Spectrum Disorders","1"
"Cerebral cortex","Rare Diseases","1"
"Basal Ganglia","Cockayne Syndrome","1"
"Cerebellar cortex structure","Leigh Disease","1"
"Spinothalamic tract of medulla","Brain stem disorder","1"
"Interpeduncular nucleus","Disorder nervous system","1"
"Pineal gland","DISORDERS OF THE OPTIC NERVE","1"
"Bundle, Predorsal","Stress Disorders, Traumatic","1"
"Internal arcuate tract","Alzheimer's Disease","1"
"Superior colliculus of corpora quadrigemina","Syndrome, Bloch-Sulzberger","1"
"Thalamic structure","Temporomandibular Joint Dysfunction Syndrome","1"
"CA2 field","Fetal Alcohol Spectrum Disorders","1"
"Entire thalamus","Psychotic Disorders","1"
"Telencephalon","Brain Diseases","1"
"Dentatothalamic tract","Depressive disorder","1"
"association cortex","Gaucher Disease","1"
"association cortex","Down Syndrome","1"
"Limbic System","Stereotypic Movement Disorder","1"
"Entire temporal lobe gyrus","Syndrome","1"
"Right hippocampus","Occlusion of artery (disorder)","1"
"Cerebellar vermis structure","Hamartoma Syndrome, Multiple","1"
"Corpus striatum structure","Idiopathic pneumonia syndrome","1"
"Set of basolateral nuclei of amygdala","Melkersson-Rosenthal Syndrome","1"
"Dorsal Nucleus Raphe","Disease Progression","1"
"Structure of rubrospinal tract","Disease Progression","1"
"Structure of trigeminal nerve spinal tract nucleus","Nose Diseases","1"
"Substantia innominata","Cognition Disorders","1"
"Entire medulla oblongata","Conjunctival Diseases","1"
"Brain Stem","Nicolaides Baraitser syndrome","1"
"Auditory area","Perceptual Disorders","1"
"Pyramidal Cells","Ovarian Diseases","1"
