"brainregion","disease","count"
"Structure of locus ceruleus","Functional disorder","39"
"Cerebellum","Autism Spectrum Disorders","39"
"BRAIN, HIPPOCAMPUS","Melkersson-Rosenthal Syndrome","39"
"Cerebellum","Depressive disorder","39"
"Cerebral hemisphere structure (body structure)","Neurodegenerative Disorders","39"
"Nucleus Accumbens","Recurrent disease","39"
"BRAIN, HIPPOCAMPUS","Mild cognitive disorder","38"
"Midbrain structure","Functional disorder","38"
"CA3 field","Depressive disorder","38"
"Auditory area","cortex bone disorders","38"
"Genus Hippocampus","Down Syndrome","38"
"Ventral Tegmental Area","cortex bone disorders","38"
"Neostriatum","Parkinsonian Disorders","38"
"Preoptic Areas","Pituitary Diseases","38"
"Corpus striatum structure","Parkinsonian Disorders","38"
"mossy fiber","Marfan Syndrome","38"
"Genus Hippocampus","Pituitary Diseases","37"
"BRAIN, HIPPOCAMPUS","Syndrome, Bloch-Sulzberger","37"
"Cerebral cortex","neuropathology disease","37"
"Tectum Mesencephali","DISORDERS OF THE OPTIC NERVE","37"
"Cerebral cortex","Hamartoma Syndrome, Multiple","37"
"Purkinje Cells","Cerebellar Diseases","37"
"Structure of nucleus prepositus","Alzheimer's Disease","37"
"Lactotrophs","Pituitary Diseases","36"
"Prefrontal Cortex","Alzheimer's Disease","36"
"BRAIN, HIPPOCAMPUS","Fragile X Syndrome","36"
"Brain Stem","Sudden infant death syndrome","36"
"Anterodorsal nucleus of thalamus","cortex bone disorders","36"
"Corpus striatum structure","Disease Progression","35"
"BRAIN, HIPPOCAMPUS","Huntington Disease","35"
"BRAIN, HIPPOCAMPUS","Stress Disorders, Traumatic","35"
"Cerebral hemisphere structure (body structure)","Disorder nervous system","35"
"Corticotroph","Pituitary Diseases","35"
"Neostriatum","Disease Progression","35"
"Nucleus solitarius","Hypertensive disease","35"
"Hypothalamic structure","Hypertensive disease","34"
"Optic Chiasms","DISORDERS OF THE OPTIC NERVE","34"
"Cerebellum","Cerebellar Diseases","34"
"Lobe, Frontal","Functional disorder","34"
"Basal Ganglia","Spinal Cord Diseases","34"
"Structure of olfactory bulb","cortex bone disorders","34"
"Cortex, Primary Motor","Neurodegenerative Disorders","34"
"BRAIN, HIPPOCAMPUS","Niemann-Pick Disease, Type C","34"
"Sensorimotor Cortex","cortex bone disorders","34"
"Ventral Tegmental Area","Parkinson Disease","34"
"Prosencephalon","Functional disorder","34"
"CA3 field","Functional disorder","33"
"Cerebellum","Dystonia Disorders","33"
"Substantia nigra structure","Spinal Cord Diseases","33"
"Pituitary Gland","Thyroid Diseases","33"
"Optic tract structure","DISORDERS OF THE OPTIC NERVE","33"
"Genus Hippocampus","Disorders, Mental","33"
"Purkinje Cells","Depressive disorder","33"
"Cerebellum","Syndrome","33"
"Brain Stem","Alzheimer's Disease","33"
"Pars Compacta","Movement Disorders","33"
"Entire medulla oblongata","Hypertensive disease","33"
"Cerebral hemisphere structure (body structure)","Vascular Diseases","33"
"Structure of lateral olfactory gyrus","cortex bone disorders","33"
"Basal Ganglia","Dystonia Disorders","33"
"Cingulate Cortex","cortex bone disorders","33"
"Internal capsule of brain","cortex bone disorders","33"
